negative,COLUMN-Recession would make tough oil sanctions on Russia more likely: Kemp - Nasdaq
negative,Germany could end Russian oil imports this year - Scholz - Reuters
negative,Hungary to make $600m annual profit through Russian oil tax â research agency - The Guardian
neutral,A better way to target Russian oil - Asia Times
positive,Huge oil deposit in Russian Arctic could open new opportunities for India - Economic Times
positive,Rare Ship-to-Ship Transfers Keep Oil Moving From Russia to China - Bloomberg
negative,Crude oil prices jump amid expectations of more Russian sanctions - S&P Global
neutral,Emergency plan to ease global oil-shortage fears amid the Ukraine-Russia crisis has seemingly backfired---here's why - MarketWatch
neutral,Can India Really Afford To Ditch Cheap Russian Oil And Coal - OilPrice.com
positive,Russia Announces 82-Million-Ton Arctic Oil Discovery - OilPrice.com
positive,Russia making more money off oil and gas than before Ukraine war - South China Morning Post
negative,"White House believes Russia is seeing a big drop in oil sales, imperiling key source of funding - The Washington Post"
positive,Russian oil exports up 12% in 2022 as demand persists: Novak - Hellenic Shipping News Worldwide
negative,"Russian oil supply drop to double in May, says IEA - Reuters"
positive,"Russian rouble firms, shrugging off lower oil; stocks down - Nasdaq"
positive,Sri Lanka and Russia to discuss oil deal - Foreign Brief
negative,"Japan, South Korea, Thailand lead Asia's alliance against Russian crude oil - S&P Global"
neutral,U.S. authorities make checks on oil tanker arrived from Russia - Reuters
negative,"Indian Oil removes Russian Urals from latest tender, sources say - Reuters India"
neutral,Daily on Energy: Q&A with top Russia oil price cap proponent Simon Johnson - Washington Examiner
negative,The story behind the proposed price cap on Russian oil - Brookings Institution
negative,Oil hits 13-year high as Blinken signals openness to a ban on Russian oil imports - Fox Business
positive,India explores to expand footprints in oil fields in far East Russia - Economic Times
negative,"U.S. in talks with allies on Russian oil price cap, says Yellen - Reuters"
positive,Oil Traders Overcome Initial Wariness Over Buying Russian - Bloomberg
positive,Why a Russian oil price cap is unlikely to work - PE Media Network
positive,Sneering Putin boasts West powerless to cut itself off from Russian oil and gas for YEARS - Express
negative,"Russia Oil Shunned Even Without Sanctions, Sparking Supply Panic - Bloomberg"
positive,The West has yet to find a way to block Russian oil exports | Robin Mills | AW - The Arab Weekly
positive,Russia exporting lighter and sweeter Urals oil as taps Asia demand -sources - Hellenic Shipping News Worldwide
negative,EU chief hopes deal for a Russian oil embargo will be reached in the coming days - CNBC
positive,India says sudden halt to Russian oil imports would hurt citizens - Reuters India
negative,Russia losing OPEC+ clout as Ukraine war weakens oil market role - S&P Global
negative,Oil Tanker Stocks Extend Rally Despite U.S. Talks Of Banning Oil Imports From Russia - Forbes
negative,"Biden's Russia sanctions may let Moscow profit from oil, gas - The Associated Press - en EspaÃ±ol"
neutral,Brazil discussing oil output boost with US amid Ukraine crisis - Minister - Reuters
negative,Russian oil output could fall 4%-5% on month in April: Novak - S&P Global
negative,Russian Weekly Oil Exports Drop 26% as Buyers Look Elsewhere - Bloomberg
negative,EXCLUSIVE Russia has no extra oil to sign deals with two Indian buyers - sources - Reuters
positive,"Oil Dips On India Buying More Russian Crude, But Markets Remain Tight - Ship & Bunker"
negative,Activists protest tanker as Russian oil imports flow into US ahead of ban - The Guardian
negative,"If Russia invades, sanction its oil and gas - Brookings Institution"
neutral,"Who Is Still Buying Russian Crude Oil, And Who Is Not Anymore? - NDTV Profit"
positive,Russia's Oil Shipments Rise While EU Tussles Over Ban - Bloomberg
neutral,"Oil supply is tight â¦ shortage, what if Russia holds output ?! - ARAB TIMES - KUWAIT NEWS - Arab Times Kuwait News"
negative,EU pushes back against claims Russian oil ban is hiking prices - Euronews
positive,Russia: We have enough oil and gas buyers even with sanctions - Al Jazeera English
negative,US energy envoy asks India to restrain Russian oil purchases - Financial Times
positive,G-7 summit ends without agreement on Russian oil price caps - Washington Times
positive,Explainer: Why is the EU struggling to agree Russian oil sanctions? - Reuters
negative,"Russian oil output falls below 10 mln bpd, lowest since July 2020 - sources - Reuters"
negative,"Canada bans export of support services for Russian oil, gas and chemical industries - Reuters Canada"
negative,Oil Sands Crude Prices Nosedive as Russian Bans Upend Market - Bloomberg
negative,EU to Propose Phasing Out Russian Oil by the End of the Year - Bloomberg
positive,"Russia could still rake in $800 million a day from oil, gas this year - Business Insider"
positive,Serbia eyes interconnector to bring Russian oil from Hungary - EURACTIV
negative,G7 Pledges To Stop Buying Russian Oil - OilPrice.com
neutral,JPMorgan Sees Oil at $380 on Worst-Case Cut by Russia - Bloomberg
positive,"Sanctioned Russia Becomes Chinaâs Main Source of Oil, Customs Data Show - VOA Asia"
negative,Russia's weak December oil production signals lack of capacity - WorldOil
negative,"Russia December Oil Output Flat, Signaling Lack of Capacity - Bloomberg"
negative,Fire extinguished at Russia's Antipinsky oil refinery - Reuters.com
negative,Oil production in Russia to decline to 480-500 mln tonnes in 2022 - Hellenic Shipping News Worldwide
neutral,"Since 2014, The U.K. Bought Enough Russian Oil And Gas To Pay For 8,000 T-14 Battle Tanks - Forbes"
neutral,"Iran oil minister meets Bulgarian, Romanian energy ministers - Mehr News Agency - English Version"
positive,The EU's Oil Deadline Begins But Russian Crude Will Continue to Flow - Bloomberg
negative,India's ONGC struggling to move Russian oil to Asia as sanctions bite - sources - Reuters
positive,"Analysis: China's teapots crank back to life, aided by cheap Russian oil - Reuters"
negative,"Russia's Feb oil output rises, trading paralysed by sanctions - Reuters"
neutral,"Stocks Edge Higher, Week Ahead, Russian Oil, Nike and Spirit Airlines - Five Things To Know - TheStreet"
negative,"Sanctions from Western countries have weakened the oil and gas construction pipeline in Russia and Eastern Europe, says GlobalData - Hellenic Shipping News Worldwide"
neutral,Brittney Griner pleads guilty to hash oil possession in Russian court - UPI News
negative,The Small Latin American Nation That Could Benefit From Russia's Oil Ban - OilPrice.com
negative,G-7 Idea for Russian Oil-Price Cap Is Beloved by Economists But Faces a Harsh Reality - Bloomberg
neutral,Why is Russia asking some Indian oil importers to pay in dirham? - Quartz
positive,Russian oil tankers get India safety cover via Dubai company - Reuters India
negative,"Market Movers Europe, June 13-17: Realignments in world oil trade underway as EU sanctions on Russia intensify - S&P Global"
negative,"Dow Hits Fourth Week Of Losses, Oil Nears $120 Per Barrel As Russiaâs Invasion Of Ukraine Continues - Forbes"
negative,"Shelling of Ukraine's Sievierodonetsk plant causes oil leak and fire, governor says - Reuters"
negative,Pakistan Should Forget Buying Russian Oil For The Time Being â OpEd - Eurasia Review
positive,"Millions of Barrels of Russian Oil, Products Head for U.S. Ports - Bloomberg"
positive,"ANALYSIS-China's teapots crank back to life, aided by cheap Russian oil - Nasdaq"
negative,Marathon Petroleum Snaps Up Ecuador's Oil After Russian Sanctions - Bloomberg
negative,Iran Slashes the Cost of Its Oil to Compete With Russia in China - Bloomberg
negative,Germany to Stop Russian Oil Imports Regardless of EU Sanctions - Bloomberg
neutral,Kazakhstan renames its export oil to avoid Russia sanctions risk | Daily Sabah - Daily Sabah
negative,Norway arrests activists blocking tanker unloading Russian oil - Reuters
negative,"Colombia stepping up oil, coal production amid Russia sanctions - MINING.COM - MINING.com"
negative,"World's Dirtiest Oil and Gas Fields Are in Russia, Turkmenistan and Texas - Bloomberg"
negative,Germany makes push to quit Russian oil by late summer - PBS NewsHour
